period_id,jurisdiction,unemployment_rate,labor_force,temp_avg_f,precip_in,gtrends_overdose,gtrends_fentanyl,gtrends_naloxone,gtrends_opioid,gtrends_methamphetamine,state_doh_release
OqDkgaDk,AK,4.5,358314.0,,,50.66,63.5,57.2,49.56,36.89,"Alaska Department of Health Authorizes Expanded Syringe Services Program Coverage
The Department has approved expansion of authorized syringe services programs to additional counties under Alaska public health authority. Syringe services programs reduce transmission of HIV and hepatitis C, connect individuals to medication for opioid use disorder, and distribute naloxone and fentanyl test strips. Decades of peer-reviewed evidence and CDC guidance support syringe services programs as a core component of the public health response to drug-related harms."
OqDkgaDk,AL,2.9,2341587.0,43.3,7.66,57.22,71.71,64.61,55.97,41.66,
OqDkgaDk,AR,3.4,1398700.0,36.1,7.58,59.6,74.7,67.3,58.3,43.4,
OqDkgaDk,AZ,3.5,3715794.0,42.1,1.37,56.02,70.22,63.26,54.8,40.8,"Arizona Department of Health Services Announces Expanded Over-the-Counter Naloxone Availability
Following the U.S. Food and Drug Administration approval of over-the-counter naloxone nasal spray, Arizona Department of Health Services confirms that Narcan is now available without a prescription at participating retail pharmacies statewide, including major chains. The Department continues to operate 117 community distribution sites and supplies free naloxone to approximately 23 community-based organizations through state and federal opioid response funding. Residents may also request free naloxone by mail through the state harm-reduction program. The Department reminds the public that naloxone reverses opioid overdose only and is safe to administer; bystanders cannot harm a person who does not have opioids in their system."
OqDkgaDk,CA,5.1,19611227.0,45.7,4.63,53.64,67.23,60.57,52.47,39.06,"California Department of Public Health Launches Quick Response Teams in Additional Counties
Quick Response Teams (QRTs) consisting of behavioral health peers, paramedics, and law enforcement liaisons will begin operations in Jefferson, Kanawha, Baltimore, Cabell counties. QRTs follow up with overdose survivors within 72 hours of an emergency response, offering naloxone, fentanyl test strips where authorized, and warm handoffs to medication for opioid use disorder treatment. Funding for the expansion comes from a $1,500,000 Bureau of Justice Assistance grant administered by the Department's behavioral health division."
OqDkgaDk,CO,3.8,3249473.0,24.6,1.13,60.79,76.19,68.65,59.47,44.27,
OqDkgaDk,CT,3.3,1920171.0,31.3,7.38,56.02,70.22,63.26,54.8,40.8,
OqDkgaDk,DC,5.1,412592.0,,,65.56,82.17,74.03,64.13,47.74,"DC Health Warns of Xylazine Mixed Into Illicit Drug Supply
Toxicology reports from the District of Columbia medical examiners and law-enforcement seizures continue to show xylazine, a non-opioid veterinary sedative, mixed into the illicit fentanyl supply. Xylazine — also known as 'tranq' — was detected in approximately 40 percent of fentanyl-positive specimens analyzed in the past quarter. Xylazine causes prolonged sedation and can produce severe soft-tissue wounds. Naloxone reverses the opioid component of these mixtures and should still be administered when overdose is suspected. Individuals presenting with non-healing wounds should seek medical evaluation and be screened for substance use treatment options including buprenorphine and methadone. --- DC Health Pilots Drug Checking and Fentanyl Test Strip Distribution
Beginning this month the Department will support a pilot program providing fentanyl test strips and xylazine immunoassay strips through approximately 29 authorized harm reduction sites across the District of Columbia. Drug checking allows individuals who use drugs to detect adulterants prior to use, an evidence-based intervention shown to reduce overdose risk. Test strips are legal under the District of Columbia statute when used for harm reduction and are distributed at no cost to the recipient. Site locations are listed on the Department's harm reduction webpage."
OqDkgaDk,DE,3.9,509953.0,37.5,6.12,61.98,77.69,69.99,60.63,45.14,"Delaware Division of Public Health Issues Alert on Detection of Nitazene Synthetic Opioids
State public health laboratory results have detected isotonitazene, N-pyrrolidino-protonitazene, and related synthetic opioids in samples submitted from 5 jurisdictions in the past 30 days. Nitazene analogues are extremely potent — some exceeding fentanyl in laboratory potency assays — and may not be reliably detected by point-of-care fentanyl test strips alone. Naloxone remains the recommended reversal agent; multiple sequential doses may be required. Clinicians treating suspected opioid overdose should consider repeat naloxone administration, airway management, and prolonged observation. --- Delaware Division of Public Health Releases Provisional Suspected-Overdose Surveillance Update
Provisional data from the Delaware syndromic surveillance system indicate a slight decrease of approximately 17 percent in suspected nonfatal overdose emergency department encounters compared with the same period one year earlier. Surveillance counts are preliminary and subject to revision as additional records are reported and toxicology completes. The Department continues to publish these data monthly through its DOSE-SYS dashboard alongside national CDC data."
OqDkgaDk,FL,3.1,11100291.0,58.7,3.57,54.83,68.72,61.92,53.64,39.93,"Florida Department of Health Pilots Drug Checking and Fentanyl Test Strip Distribution
Beginning this month the Department will support a pilot program providing fentanyl test strips and xylazine immunoassay strips through approximately 8 authorized harm reduction sites across Florida. Drug checking allows individuals who use drugs to detect adulterants prior to use, an evidence-based intervention shown to reduce overdose risk. Test strips are legal under Florida statute when used for harm reduction and are distributed at no cost to the recipient. Site locations are listed on the Department's harm reduction webpage."
OqDkgaDk,GA,3.2,5408092.0,46.1,5.65,56.62,70.96,63.93,55.38,41.23,"Georgia Department of Public Health Issues Public Health Advisory on Cluster of Suspected Fentanyl-Involved Overdoses
Georgia health officials are alerting clinicians, first responders, and the public to a recent cluster of 13 suspected nonfatal overdose events reported in the Augusta area. Preliminary toxicology indicates involvement of illicitly manufactured fentanyl, with several specimens also positive for methamphetamine. Naloxone remains the recommended reversal agent; clinicians should be prepared to administer repeat doses given fentanyl potency. Community members are encouraged to obtain naloxone through participating pharmacies or county health departments at no cost. Anyone witnessing an overdose should call 911; the Georgia Good Samaritan law provides limited protection from prosecution for those seeking help."
OqDkgaDk,HI,2.8,679214.0,,,44.7,56.03,50.47,43.72,32.55,"Hawaii Department of Health Pilots Drug Checking and Fentanyl Test Strip Distribution
Beginning this month the Department will support a pilot program providing fentanyl test strips and xylazine immunoassay strips through approximately 23 authorized harm reduction sites across Hawaii. Drug checking allows individuals who use drugs to detect adulterants prior to use, an evidence-based intervention shown to reduce overdose risk. Test strips are legal under Hawaii statute when used for harm reduction and are distributed at no cost to the recipient. Site locations are listed on the Department's harm reduction webpage."
