period_id,jurisdiction,overdose_category,rate_per_10000_ed_visits
jtUOZLP4,AK,all_drugs,14.93
jtUOZLP4,AK,all_opioids,5.82
jtUOZLP4,AK,all_stimulants,5.39
jtUOZLP4,AK,heroin,0.12
jtUOZLP4,AK,fentanyl,5.34
jtUOZLP4,AK,cocaine,1.97
jtUOZLP4,AK,methamphetamine,2.45
jtUOZLP4,AK,benzodiazepine,1.48
jtUOZLP4,AL,all_drugs,23.63
jtUOZLP4,AL,all_opioids,8.97
jtUOZLP4,AL,all_stimulants,4.04
jtUOZLP4,AL,heroin,0.14
jtUOZLP4,AL,fentanyl,7.27
jtUOZLP4,AL,cocaine,2.62
jtUOZLP4,AL,methamphetamine,1.76
jtUOZLP4,AL,benzodiazepine,1.92
jtUOZLP4,AR,all_drugs,20.89
jtUOZLP4,AR,all_opioids,8.57
jtUOZLP4,AR,all_stimulants,5.67
jtUOZLP4,AR,heroin,0.12
jtUOZLP4,AR,fentanyl,5.95
jtUOZLP4,AR,cocaine,2.6
jtUOZLP4,AR,methamphetamine,2.82
jtUOZLP4,AR,benzodiazepine,1.78
jtUOZLP4,AZ,all_drugs,18.99
jtUOZLP4,AZ,all_opioids,6.93
jtUOZLP4,AZ,all_stimulants,4.18
jtUOZLP4,AZ,heroin,0.1
jtUOZLP4,AZ,fentanyl,5.77
jtUOZLP4,AZ,cocaine,2.28
jtUOZLP4,AZ,methamphetamine,2.85
jtUOZLP4,AZ,benzodiazepine,1.58
jtUOZLP4,CA,all_drugs,14.69
jtUOZLP4,CA,all_opioids,6.05
jtUOZLP4,CA,all_stimulants,4.67
jtUOZLP4,CA,heroin,0.07
jtUOZLP4,CA,fentanyl,4.79
jtUOZLP4,CA,cocaine,2.57
jtUOZLP4,CA,methamphetamine,1.74
jtUOZLP4,CA,benzodiazepine,1.47
jtUOZLP4,CO,all_drugs,17.7
jtUOZLP4,CO,all_opioids,7.94
jtUOZLP4,CO,all_stimulants,4.28
jtUOZLP4,CO,heroin,0.11
jtUOZLP4,CO,fentanyl,4.88
jtUOZLP4,CO,cocaine,1.57
jtUOZLP4,CO,methamphetamine,2.86
jtUOZLP4,CO,benzodiazepine,1.76
jtUOZLP4,CT,all_drugs,14.32
jtUOZLP4,CT,all_opioids,6.77
jtUOZLP4,CT,all_stimulants,4.56
jtUOZLP4,CT,heroin,0.08
jtUOZLP4,CT,fentanyl,5.91
jtUOZLP4,CT,cocaine,2.24
jtUOZLP4,CT,methamphetamine,2.38
jtUOZLP4,CT,benzodiazepine,1.59
jtUOZLP4,DC,all_drugs,23.85
jtUOZLP4,DC,all_opioids,10.7
jtUOZLP4,DC,all_stimulants,5.59
jtUOZLP4,DC,heroin,0.15
jtUOZLP4,DC,fentanyl,6.11
jtUOZLP4,DC,cocaine,3.09
jtUOZLP4,DC,methamphetamine,2.94
jtUOZLP4,DC,benzodiazepine,1.8
jtUOZLP4,DE,all_drugs,26.69
jtUOZLP4,DE,all_opioids,11.71
jtUOZLP4,DE,all_stimulants,8.12
jtUOZLP4,DE,heroin,0.14
jtUOZLP4,DE,fentanyl,8.74
jtUOZLP4,DE,cocaine,3.34
jtUOZLP4,DE,methamphetamine,4.7
jtUOZLP4,DE,benzodiazepine,2.63
jtUOZLP4,FL,all_drugs,12.96
